t,az
9.781000,9.900169373
9.819000,9.904960632
9.860000,9.900169373
9.880000,9.895379066
9.900000,9.895379066
9.939000,9.904960632
9.961000,9.895379066
9.982000,9.900169373
10.020000,9.904960632
10.060000,9.900169373
10.080000,9.895379066
10.100000,9.900169373
10.120000,9.900169373
10.141000,9.895379066
10.161000,9.904960632
10.182000,9.900169373
10.221000,9.895379066
10.241000,9.895379066
10.262000,9.904960632
10.283000,9.904960632
10.322000,9.895379066
10.362000,9.904960632
10.383000,9.900169373
10.402000,9.904960632
10.423000,9.900169373
10.443000,9.904960632
10.463000,9.900169373
10.484000,9.895379066
10.523000,9.895379066
10.543000,9.900169373
10.584000,9.890587807
10.624000,9.900169373
10.663000,9.900169373
10.685000,9.904960632
10.724000,9.904960632
10.744000,9.904960632
10.785000,9.904960632
10.806000,9.900169373
10.844000,9.900169373
10.864000,9.900169373
10.884000,9.900169373
10.905000,9.900169373
10.945000,9.904960632
10.985000,9.900169373
11.005000,9.900169373
11.026000,9.904960632
11.065000,9.900169373
11.086000,9.900169373
11.107000,9.900169373
11.126000,9.904960632
11.165000,9.900169373
11.188000,9.904960632
11.207000,9.904960632
11.227000,9.900169373
11.266000,9.895379066
11.287000,9.904960632
11.309000,9.904960632
11.347000,9.904960632
11.387000,9.904960632
11.409000,9.895379066
11.428000,9.904960632
11.448000,9.890587807
11.487000,9.900169373
11.510000,9.900169373
11.548000,9.900169373
11.589000,9.900169373
11.609000,9.904960632
11.629000,9.904960632
11.669000,9.904960632
11.712000,9.904960632
11.749000,9.900169373
11.769000,9.900169373
11.790000,9.904960632
11.811000,9.900169373
11.849000,9.895379066
11.869000,9.904960632
11.889000,9.900169373
11.912000,9.904960632
11.950000,9.904960632
11.971000,9.904960632
12.012000,9.904960632
12.031000,9.909751892
12.071000,9.900169373
12.090000,9.904960632
12.111000,9.904960632
12.151000,9.900169373
12.172000,9.904960632
12.191000,9.904960632
12.211000,9.904960632
12.231000,9.904960632
12.271000,9.900169373
12.291000,9.900169373
12.313000,9.904960632
12.352000,9.900169373
12.371000,9.904960632
12.392000,9.900169373
12.413000,9.904960632
12.452000,9.900169373
12.473000,9.904960632
12.492000,9.909751892
12.513000,9.900169373
12.534000,9.895379066
12.572000,9.909751892
12.593000,9.904960632
12.613000,9.919333458
12.635000,9.900169373
12.673000,9.900169373
12.693000,9.895379066
12.713000,9.900169373
12.734000,9.904960632
12.754000,9.900169373
12.794000,9.904960632
12.815000,9.904960632
12.855000,9.900169373
12.894000,9.900169373
12.915000,9.900169373
12.936000,9.900169373
