t_ms,ax,ay,az,gx,gy,gz
16583,-0.138784,-1.387837,12.013735,-23.234375,30.531250,-0.296875
16667,-0.361316,-1.890330,9.874998,149.890625,-28.718750,30.828125
16750,-0.378066,-4.773681,10.783850,-23.062500,3.406250,27.828125
16833,-0.382852,-5.682954,11.734968,-165.890625,37.734375,12.281250
16917,-0.425922,-4.472185,12.293543,-168.375000,49.421875,-4.343750
17000,-0.078963,1.397408,9.646793,235.296875,-50.406250,26.062500
17083,-0.842274,-5.096712,10.105200,-141.046875,54.796875,11.171875
17167,-0.174676,-3.632305,9.634702,-229.796875,57.421875,-10.000000
17250,0.928415,-0.976272,8.544200,-24.187500,-43.437500,9.421875
17333,1.021735,1.201197,8.447878,132.703125,-46.218750,20.593750
17417,-0.102891,1.272982,9.727139,174.640625,2.625000,23.093750
17500,-0.885344,-3.182454,11.840308,71.640625,60.734375,27.500000
17583,-0.658026,-5.144569,11.788016,-91.843750,82.156250,10.687500
17667,-0.055035,-4.522435,10.346122,-189.671875,47.156250,-21.796875
17750,0.713061,-2.043471,8.506183,-143.453125,-17.125000,-27.109375
17833,0.686740,0.732204,7.837057,16.109375,-56.171875,-6.781250
17917,-0.078963,1.768296,8.613875,177.390625,-48.703125,6.828125
18000,-0.583849,-0.071785,9.619524,219.843750,-11.890625,11.000000
18083,-1.574477,0.897308,14.439448,109.593750,91.968750,8.109375
18167,1.473979,-2.656033,9.146769,202.875000,-78.156250,-4.421875
18250,-0.299103,-5.113462,9.708456,41.734375,-95.703125,-26.140625
18333,-1.069592,-6.070591,11.429483,-147.421875,-26.703125,-6.703125
18417,-1.313660,-5.056034,12.115656,-258.859375,62.953125,7.718750
18500,0.157926,1.682154,12.460024,237.156250,17.562500,19.609375
18583,1.086341,1.775474,8.768043,-14.765625,25.578125,11.578125
18667,1.730011,1.746760,7.356613,170.515625,-67.515625,28.421875
18750,0.117248,-0.777667,6.767274,238.031250,-112.734375,14.937500
18833,-0.993021,-3.488735,7.818802,171.953125,-78.718750,1.203125
18917,-0.966700,-5.075177,9.318721,23.343750,-3.140625,12.671875
19000,-0.849452,-1.509871,10.697835,-204.718750,87.375000,-0.015625
19083,-1.021735,-1.698904,10.599685,19.671875,17.156250,37.203125
19167,0.914058,-2.519642,9.176200,-70.515625,-40.468750,34.390625
19250,0.763310,-2.366502,9.300262,-68.484375,-28.078125,42.046875
19333,-0.390030,-1.588834,10.457401,-1.500000,44.062500,51.515625
19417,-1.284946,-0.019143,11.535451,94.437500,118.265625,56.312500
19500,-0.504886,-2.175076,10.285759,8.937500,35.359375,51.906250
19583,-0.258425,-0.691526,8.994037,107.171875,48.500000,27.640625
19667,1.014557,-2.261217,7.625221,-8.140625,-51.078125,-21.593750
19750,1.086341,-3.663411,8.484057,-136.000000,-94.328125,-34.296875
19833,-0.267996,-4.316652,11.345995,-180.359375,-34.875000,-10.796875
19917,-1.462015,-2.404787,14.042595,-79.156250,63.859375,-0.843750
20000,-1.215554,0.416351,10.948954,145.843750,124.140625,56.765625
20083,0.196211,-2.620141,9.033545,-63.703125,-16.343750,-13.718750
20167,0.081356,-1.708475,9.830106,-28.718750,-15.343750,-1.718750
20250,-0.026321,-0.557528,10.441295,40.875000,-3.046875,0.812500
20333,-0.112463,-0.397209,10.569990,88.375000,19.156250,-3.015625
20417,-0.258425,-1.619941,10.428618,71.296875,48.687500,-6.453125
20500,-0.205783,-3.120241,10.510399,-52.609375,43.062500,-25.187500
20583,0.746561,-2.490928,9.931414,-70.828125,-25.421875,-30.859375
20667,1.256232,-1.674976,9.342816,-52.546875,-95.093750,-24.359375
20750,0.241675,-1.292124,9.237380,-23.437500,-107.437500,-10.343750
20833,-1.064806,-1.359123,10.001353,3.125000,-51.390625,10.234375
20917,-0.449851,-2.928815,10.626239,6.375000,67.296875,-12.859375
21000,-0.245264,-2.517250,10.873818,31.414062,45.765625,-14.804688
21083,-0.040678,-2.105684,11.149276,56.453125,24.234375,-16.750000
21167,-0.224925,-0.421137,8.834912,33.859375,43.218750,8.968750
21250,0.155533,-0.392423,8.627472,84.281250,28.578125,10.890625
21333,0.177069,-1.107877,9.769907,93.125000,21.625000,2.296875
21417,-0.157926,-2.758924,11.614622,3.000000,22.796875,-33.609375
21500,-0.552742,-1.146162,9.839872,-29.343750,45.125000,4.328125
21583,0.256032,-2.376073,10.290413,-48.750000,-16.375000,-26.906250
21667,0.052642,-1.493121,11.433713,-5.078125,-24.203125,-24.453125
21750,-0.363709,-1.395016,11.208636,29.703125,-2.406250,-33.093750
21833,0.000000,-2.615355,9.206367,-1.593750,6.140625,-35.984375
21917,-0.052642,-2.823531,11.061295,-35.015625,7.312500,-35.484375
22000,-0.229711,-2.082952,10.767319,-8.632812,29.500000,-9.375000
22083,-0.406780,-1.342373,10.518801,17.750000,51.687500,16.734375
22167,-0.055035,-1.019342,10.051243,60.078125,43.984375,24.343750
22250,0.251246,-1.519442,10.332960,66.312500,15.015625,16.156250
22333,0.361316,-2.081756,10.673313,18.218750,-19.796875,-4.968750
22417,0.411565,-3.139383,11.496767,-44.546875,-45.968750,-17.359375
22500,0.198604,-3.187240,11.929789,-60.625000,-49.390625,-7.390625
22583,0.107677,-3.127419,10.845514,-77.156250,-14.515625,-0.812500
22667,-0.452243,-0.993021,11.535073,51.593750,-0.812500,35.046875
22750,-0.291924,-1.009771,11.011079,78.343750,1.203125,38.328125
22833,0.129212,-1.909472,10.569905,41.750000,-17.515625,22.171875
22917,0.418744,-2.909672,10.573267,-27.781250,-29.484375,4.609375
23000,-0.196211,-2.055435,11.852408,-14.265625,-26.359375,14.921875
23083,0.174676,-2.622534,10.371890,-43.406250,12.093750,0.796875
23167,0.342174,-2.443072,10.925680,-56.984375,-2.390625,2.890625
23250,0.390030,-2.033899,10.899022,-47.203125,-12.968750,10.890625
23333,0.141177,-1.555335,10.042802,-25.171875,-9.328125,21.703125
23417,-0.133998,-1.390230,8.723855,-12.953125,5.750000,27.265625
23500,-0.227318,-1.301695,7.652281,-13.843750,19.578125,19.968750
23583,-0.124427,-1.086341,7.244354,-13.156250,18.140625,4.796875
23667,0.198604,-0.973879,7.433156,-2.265625,-3.171875,-7.250000
23750,0.468993,-1.318445,8.284712,4.593750,-28.281250,-11.906250
23833,0.258425,-2.031506,9.569960,-6.843750,-33.203125,-10.625000
23917,-0.217747,-2.383251,10.630354,-23.703125,-7.859375,-5.031250
24000,-0.509671,-2.036292,10.986435,-18.828125,30.125000,4.187500
