t_ms,ax,ay,az,gx,gy,gz
14417,0.425922,-3.323631,8.925228,-15.078125,-2.859375,-18.046875
14500,-0.330210,0.772882,8.051848,148.000000,46.687500,6.953125
14583,0.119641,-4.187440,10.246066,-184.906250,-31.687500,-21.109375
14667,-0.119641,-1.359123,10.695917,-71.421875,-27.500000,-6.828125
14750,-0.081356,1.490728,10.449456,115.781250,-27.000000,6.109375
14833,0.100499,1.588834,10.138389,236.421875,-33.000000,11.421875
14917,0.095713,-1.519442,10.124032,188.718750,-34.906250,8.734375
15000,0.411565,-4.876572,9.494720,-151.828125,-25.484375,-27.500000
15083,0.311067,0.959522,10.755738,209.734375,-15.359375,9.765625
15167,-0.071785,-1.751546,10.506884,124.062500,-7.140625,-3.093750
15250,-0.277567,-4.536792,10.511670,-40.265625,12.828125,-8.421875
15333,-0.287139,-5.326423,11.600404,-161.484375,29.953125,-8.984375
15417,-0.078963,-2.677568,12.086147,-143.781250,33.015625,-8.265625
15500,-0.102891,-3.184847,8.092526,90.625000,12.531250,-9.593750
15583,-0.090927,-0.588634,8.657232,145.140625,11.140625,-0.437500
15667,0.291924,-4.074977,8.049455,-124.093750,-29.375000,-15.531250
15750,0.447458,-2.926422,8.252845,-168.187500,-39.781250,-5.062500
15833,0.318245,0.985843,10.325030,-14.406250,20.562500,-1.703125
15917,0.310269,-0.801597,10.091330,-82.630273,5.041652,-13.744803
16000,0.302293,-2.589038,9.857631,-150.854297,-10.479196,-25.786481
16083,0.294317,-4.376473,9.623932,-219.078125,-26.000000,-37.828125
16167,-0.045464,-5.893522,9.169296,-249.328125,10.265625,-34.796875
16250,0.526421,-0.701097,9.990034,-34.421875,-53.359375,-13.750000
16333,-0.614955,-1.780260,9.927821,100.609375,21.484375,8.875000
16417,-0.205783,-5.697311,9.305687,-103.953125,30.359375,-9.171875
16500,0.332602,2.139183,9.631111,162.578125,-60.281250,12.203125
16583,-0.138784,-1.387837,11.964113,-23.234375,30.531250,-0.296875
16667,-0.361316,-1.890330,9.690932,149.890625,-28.718750,30.828125
16750,-0.378066,-4.773681,9.678967,-23.062500,3.406250,27.828125
16833,-0.382852,-5.682954,10.265209,-165.890625,37.734375,12.281250
16917,-0.425922,-4.472185,11.444870,-168.375000,49.421875,-4.343750
17000,-0.078963,1.397408,9.559326,235.296875,-50.406250,26.062500
17083,-0.842274,-5.096712,8.724231,-141.046875,54.796875,11.171875
17167,-0.174676,-3.632305,8.927621,-229.796875,57.421875,-10.000000
17250,0.928415,-0.976272,8.484949,-24.187500,-43.437500,9.421875
17333,1.021735,1.201197,8.367701,132.703125,-46.218750,20.593750
17417,-0.102891,1.272982,9.655039,174.640625,2.625000,23.093750
17500,-0.885344,-3.182454,11.380264,71.640625,60.734375,27.500000
17583,-0.658026,-5.144569,10.616954,-91.843750,82.156250,10.687500
17667,-0.055035,-4.522435,9.312866,-189.671875,47.156250,-21.796875
17750,0.713061,-2.043471,8.288737,-143.453125,-17.125000,-27.109375
17833,0.686740,0.732204,7.960921,16.109375,-56.171875,-6.781250
17917,-0.078963,1.768296,8.518448,177.390625,-48.703125,6.828125
18000,-0.583849,-0.071785,9.602397,219.843750,-11.890625,11.000000
18083,-1.574477,0.897308,14.347364,109.593750,91.968750,8.109375
18167,1.473979,-2.656033,8.786445,202.875000,-78.156250,-4.421875
18250,-0.299103,-5.113462,8.458628,41.734375,-95.703125,-26.140625
18333,-1.069592,-6.070591,9.690932,-147.421875,-26.703125,-6.703125
18417,-1.313660,-5.056034,10.947163,-258.859375,62.953125,7.718750
18500,0.157926,1.682154,12.346965,237.156250,17.562500,19.609375
18583,1.086341,1.775474,8.544770,-14.765625,25.578125,11.578125
18667,1.730011,1.746760,6.975078,170.515625,-67.515625,28.421875
18750,0.117248,-0.777667,7.063612,238.031250,-112.734375,14.937500
18833,-0.993021,-3.488735,7.637890,171.953125,-78.718750,1.203125
18917,-0.966700,-5.075177,8.188239,23.343750,-3.140625,12.671875
19000,-0.849452,-1.509871,10.597811,-204.718750,87.375000,-0.015625
19083,-1.021735,-1.698904,10.420742,19.671875,17.156250,37.203125
19167,0.914058,-2.519642,8.815158,-70.515625,-40.468750,34.390625
19250,0.763310,-2.366502,8.975478,-68.484375,-28.078125,42.046875
19333,-0.390030,-1.588834,10.329815,-1.500000,44.062500,51.515625
19417,-1.284946,-0.019143,11.464013,94.437500,118.265625,56.312500
19500,-0.504886,-2.175076,10.054641,8.937500,35.359375,51.906250
19583,-0.258425,-0.691526,8.968299,107.171875,48.500000,27.640625
19667,1.014557,-2.261217,7.264609,-8.140625,-51.078125,-21.593750
19750,1.086341,-3.663411,7.611569,-136.000000,-94.328125,-34.296875
19833,-0.267996,-4.316652,10.509277,-180.359375,-34.875000,-10.796875
19917,-1.462015,-2.404787,13.792229,-79.156250,63.859375,-0.843750
20000,-1.215554,0.416351,10.875379,145.843750,124.140625,56.765625
20083,0.196211,-2.620141,8.676375,-63.703125,-16.343750,-13.718750
20167,0.081356,-1.708475,9.686146,-28.718750,-15.343750,-1.718750
20250,-0.026321,-0.557528,10.432707,40.875000,-3.046875,0.812500
20333,-0.112463,-0.397209,10.569097,88.375000,19.156250,-3.015625
20417,-0.258425,-1.619941,10.305887,71.296875,48.687500,-6.453125
20500,-0.205783,-3.120241,10.040284,-52.609375,43.062500,-25.187500
20583,0.746561,-2.490928,9.585647,-70.828125,-25.421875,-30.859375
20667,1.256232,-1.674976,9.116654,-52.546875,-95.093750,-24.359375
20750,0.241675,-1.292124,9.159725,-23.437500,-107.437500,-10.343750
20833,-1.064806,-1.359123,9.860822,3.125000,-51.390625,10.234375
20917,-0.449851,-2.928815,10.207781,6.375000,67.296875,-12.859375
21000,-0.245264,-2.517250,10.582258,31.414062,45.765625,-14.804688
21083,-0.040678,-2.105684,10.956735,56.453125,24.234375,-16.750000
21167,-0.224925,-0.421137,8.822337,33.859375,43.218750,8.968750
21250,0.155533,-0.392423,8.621340,84.281250,28.578125,10.890625
21333,0.177069,-1.107877,9.717253,93.125000,21.625000,2.296875
21417,-0.157926,-2.758924,11.289337,3.000000,22.796875,-33.609375
21500,-0.552742,-1.146162,9.757931,-29.343750,45.125000,4.328125
21583,0.256032,-2.376073,10.009177,-48.750000,-16.375000,-26.906250
21667,0.052642,-1.493121,11.337193,-5.078125,-24.203125,-24.453125
21750,-0.363709,-1.395016,11.117054,29.703125,-2.406250,-33.093750
21833,0.000000,-2.615355,8.831908,-1.593750,6.140625,-35.984375
21917,-0.052642,-2.823531,10.698310,-35.015625,7.312500,-35.484375
22000,-0.229711,-2.082952,10.561919,-8.632812,29.500000,-9.375000
22083,-0.406780,-1.342373,10.425528,17.750000,51.687500,16.734375
22167,-0.055035,-1.019342,10.001998,60.078125,43.984375,24.343750
22250,0.251246,-1.519442,10.224531,66.312500,15.015625,16.156250
22333,0.361316,-2.081756,10.466206,18.218750,-19.796875,-4.968750
22417,0.411565,-3.139383,11.054840,-44.546875,-45.968750,-17.359375
22500,0.198604,-3.187240,11.495120,-60.625000,-49.390625,-7.390625
22583,0.107677,-3.127419,10.384850,-77.156250,-14.515625,-0.812500
22667,-0.452243,-0.993021,11.485548,51.593750,-0.812500,35.046875
22750,-0.291924,-1.009771,10.963913,78.343750,1.203125,38.328125
22833,0.129212,-1.909472,10.401600,41.750000,-17.515625,22.171875
22917,0.418744,-2.909672,10.162318,-27.781250,-29.484375,4.609375
23000,-0.196211,-2.055435,11.672189,-14.265625,-26.359375,14.921875
23083,0.174676,-2.622534,10.035498,-43.406250,12.093750,0.796875
23167,0.342174,-2.443072,10.645668,-56.984375,-2.390625,2.890625
23250,0.390030,-2.033899,10.703095,-47.203125,-12.968750,10.890625
23333,0.141177,-1.555335,9.923035,-25.171875,-9.328125,21.703125
23417,-0.133998,-1.390230,8.611769,-12.953125,5.750000,27.265625
23500,-0.227318,-1.301695,7.537391,-13.843750,19.578125,19.968750
23583,-0.124427,-1.086341,7.161718,-13.156250,18.140625,4.796875
23667,0.198604,-0.973879,7.367501,-2.265625,-3.171875,-7.250000
23750,0.468993,-1.318445,8.166704,4.593750,-28.281250,-11.906250
23833,0.258425,-2.031506,9.348758,-6.843750,-33.203125,-10.625000
23917,-0.217747,-2.383251,10.358529,-23.703125,-7.859375,-5.031250
24000,-0.509671,-2.036292,10.784451,-18.828125,30.125000,4.187500
24083,0.732204,-2.009971,8.011170,0.000000,-50.593750,-23.671875
24167,-0.397209,-1.770689,8.985049,10.828125,3.953125,6.406250
24250,-0.375673,-1.837688,9.602397,17.656250,42.296875,12.921875
24333,-0.366102,-1.727618,10.616954,7.312500,64.203125,-4.187500
24417,-0.344566,-1.873580,11.514262,-15.218750,52.812500,-28.734375
24500,-0.004786,-2.237289,11.617154,-19.515625,4.921875,-37.953125
24583,-0.004786,-1.852045,8.489735,1.234375,-33.656250,-12.718750
24667,0.638884,-1.641476,10.913664,43.796875,-62.812500,-21.218750
24750,-0.181855,-1.488336,10.559526,43.796875,-62.812500,-21.218750
24833,-0.533599,-2.009971,10.025927,52.343750,-44.156250,-14.546875
24917,-0.428315,-2.557927,9.628718,29.328125,-9.703125,-5.093750
25000,0.734597,-2.170290,11.207981,9.093750,-45.343750,-30.171875
25083,-0.497707,0.078963,11.136196,101.234375,20.078125,-0.062500
25167,-0.526421,-1.799403,12.256037,122.421875,42.031250,7.125000
25250,0.160319,-4.378865,12.634103,44.140625,25.468750,14.421875
25333,0.978664,-4.852644,11.799008,-71.406250,-24.406250,9.656250
25417,0.696311,-2.883351,10.360922,-97.234375,-58.015625,13.515625
25500,-0.256032,-0.050249,11.066805,12.703125,-6.390625,1.843750
25583,-0.643669,0.150748,8.305487,-44.250000,-10.765625,1.343750
25667,-0.693919,-0.062213,8.358129,-0.015625,45.250000,-17.703125
25750,-0.533599,-0.866202,8.559126,29.578125,77.562500,-22.625000
25833,0.488136,-1.811367,8.157132,30.437500,19.390625,-16.671875
25917,0.815953,-1.971686,7.992027,12.093750,-30.968750,-22.093750
26000,-0.256032,-0.744168,8.961121,-97.234375,-58.015625,13.515625
26083,0.480957,-2.325824,7.867601,-53.968750,-0.375000,-17.125000
26167,0.409173,-2.062613,7.446464,-73.265625,-29.562500,-7.500000
26250,0.107677,-2.074577,7.759924,-99.890625,-29.906250,19.562500
26333,-0.251246,-1.397408,9.255438,-98.484375,-6.843750,6.218750
26417,-0.368495,-0.693919,10.564312,-57.203125,18.171875,-11.109375
26500,-0.169890,-0.239282,11.272587,26.640625,27.343750,-10.968750
26583,0.200997,-0.507278,11.095518,116.937500,13.062500,8.421875
26667,0.062213,-3.010171,10.497313,112.781250,-33.078125,14.890625
26750,-0.045464,-4.134797,10.937592,11.937500,-38.750000,3.359375
26833,-0.014357,-3.921836,11.507084,-69.828125,-34.953125,1.921875
26917,-0.047856,-1.993221,11.547762,-67.109375,-23.484375,4.265625
